latency_ms,jitter_ms,packet_loss_pct,is_external,samples_count,label
27.73,3.22,0.103,1,8,2
87.85,22.19,2.696,1,5,1
102.04,8.0,5.352,1,19,1
24.12,6.25,0.768,0,10,0
1.88,0.5,0.078,0,25,0
87.73,30.66,1.867,1,9,1
74.49,10.05,1.368,1,9,1
103.62,8.0,3.964,1,3,1
29.0,6.75,1.5,1,13,2
459.05,34.36,11.465,1,4,1
29.14,2.98,0.138,1,29,2
119.96,33.07,6.318,1,16,1
1.0,2.05,0.262,0,20,0
2.19,0.92,0.025,0,26,0
79.83,34.5,1.562,1,13,1
2.07,2.32,0.037,0,11,0
46.56,9.63,0.006,1,25,2
33.73,8.76,0.052,1,22,2
38.9,9.31,1.256,1,28,2
21.51,0.76,0.221,0,29,0
23.54,7.88,0.12,0,6,0
10.36,0.5,0.072,0,17,0
35.35,5.62,0.675,1,10,2
131.35,18.44,2.3,1,17,1
29.88,7.5,0.357,1,25,2
5.25,8.0,0.063,0,13,0
50.07,1.0,0.108,1,8,2
25.43,5.42,0.469,0,6,0
45.99,1.53,0.351,1,7,2
2.1,1.04,0.198,0,19,0
139.47,22.7,3.109,1,3,1
123.02,8.0,4.154,1,6,1
54.0,6.49,0.07,1,8,2
37.37,4.52,0.144,1,27,2
47.37,4.01,0.617,1,9,2
5.92,7.55,0.008,0,27,0
1.67,0.71,0.101,0,20,0
103.23,39.57,4.666,1,11,1
40.31,5.96,0.147,1,13,2
21.64,3.69,0.5,0,19,0
150.89,32.18,6.069,1,11,1
159.95,13.16,5.12,1,18,1
175.63,8.96,1.5,1,8,1
198.34,15.1,4.799,1,13,1
122.19,17.73,3.554,1,14,1
161.6,21.0,4.862,1,15,1
143.73,26.4,3.747,1,3,1
19.23,6.8,0.5,0,24,0
4.58,1.71,0.089,0,5,0
99.04,36.31,4.673,1,13,1
2.64,0.11,0.073,0,25,0
40.96,4.52,0.409,1,11,2
3.93,3.18,0.01,0,8,0
16.16,3.03,0.144,0,18,0
52.66,1.0,0.254,1,14,2
2.78,0.75,0.073,0,10,0
60.87,14.71,1.393,1,11,1
85.92,8.0,6.218,1,3,1
116.92,53.52,2.855,1,18,1
1.0,0.88,0.148,0,20,0
60.43,1.0,0.071,1,16,2
1.45,0.57,0.407,0,18,0
69.84,27.96,1.5,1,11,1
4.23,2.57,0.102,0,12,0
45.23,3.74,0.554,1,22,2
43.99,1.0,0.716,1,27,2
23.79,0.21,0.04,0,27,0
140.09,26.35,5.329,1,12,1
196.08,13.57,2.273,1,12,1
59.25,6.73,0.057,1,17,2
21.87,7.0,0.567,1,14,2
16.54,1.86,0.214,0,22,0
63.23,14.91,1.34,1,5,2
17.83,2.35,0.182,0,15,0
128.07,32.13,5.322,1,3,1
81.39,41.49,4.271,1,18,1
1.0,0.75,0.338,0,18,0
43.41,5.96,0.368,1,26,2
10.0,7.44,0.399,1,15,2
1.5,1.08,0.066,0,18,0
28.51,10.66,0.064,1,18,2
103.48,30.05,2.08,1,19,1
1.2,6.05,0.091,0,19,0
70.86,7.45,0.275,1,24,2
77.56,28.8,6.142,1,19,1
1.14,2.99,0.015,0,19,0
363.81,33.62,7.738,1,4,1
35.65,10.93,0.223,1,26,2
4.35,1.75,0.338,0,25,0
32.57,5.15,0.365,0,9,0
1.97,1.17,0.041,0,17,0
6.11,3.84,0.008,0,5,0
183.53,8.0,4.823,1,16,1
9.09,1.12,0.34,0,27,0
1.0,1.32,0.037,0,12,0
6.7,4.75,0.255,0,20,0
128.29,46.32,4.235,1,19,1
4.64,1.46,0.302,0,8,0
1.56,0.14,0.001,0,13,0
87.44,19.44,5.286,1,6,1
418.32,56.06,7.697,1,4,1
141.85,40.4,2.675,1,15,1
26.43,6.75,1.133,1,20,2
59.59,13.32,0.321,1,11,2
1.0,1.92,0.047,0,25,0
145.23,8.0,2.646,1,9,1
41.4,9.56,0.604,1,27,2
311.34,86.16,13.901,1,9,1
157.84,27.04,6.361,1,19,1
137.55,31.76,1.623,1,10,1
153.69,23.78,4.055,1,15,1
93.12,29.84,5.959,1,7,1
24.08,3.42,0.06,1,8,2
139.46,16.57,1.717,1,18,1
1.0,2.0,0.016,0,10,0
18.94,3.86,0.015,0,6,0
2.17,0.41,0.347,0,12,0
1.27,0.43,0.379,0,25,0
6.2,0.48,0.167,0,26,0
378.12,65.15,12.671,1,7,1
166.4,37.06,1.75,1,8,1
7.6,0.82,0.008,0,12,0
99.37,27.33,2.485,1,14,1
167.73,32.09,1.819,1,3,1
10.0,1.24,0.115,1,19,2
2.32,0.1,0.105,0,9,0
8.91,0.84,0.047,0,18,0
22.11,0.37,0.21,0,7,0
42.11,3.09,0.478,1,25,2
205.95,12.15,2.553,1,15,1
28.71,1.0,0.115,1,25,2
1.0,1.85,0.251,0,11,0
164.04,8.0,4.515,1,4,1
72.69,30.27,3.394,1,3,1
36.67,7.15,0.444,1,19,2
40.79,5.74,0.023,1,11,2
1.0,1.31,0.249,0,22,0
86.91,10.29,1.819,1,11,1
65.34,7.47,0.065,1,16,2
27.4,8.65,0.158,1,18,2
248.02,96.37,14.688,1,5,1
26.71,4.75,0.495,0,16,0
104.12,8.0,5.458,1,5,1
2.99,2.66,0.026,0,7,0
6.53,0.72,0.5,0,25,0
105.47,22.62,7.451,1,12,1
144.42,31.42,5.449,1,13,1
38.37,4.73,0.013,1,23,2
2.39,1.67,0.124,0,18,0
186.42,17.58,5.135,1,12,1
150.75,26.94,5.304,1,8,1
15.91,2.67,0.089,0,6,0
9.58,0.68,0.034,0,15,0
53.07,7.27,0.234,1,25,2
147.83,46.83,3.297,1,13,1
129.05,17.16,2.415,1,12,1
6.64,0.77,0.087,0,26,0
12.37,3.56,0.005,1,20,2
11.44,1.02,0.062,0,21,0
50.35,5.73,0.296,1,22,2
102.0,33.76,7.424,1,5,1
148.67,14.83,5.394,1,16,1
58.97,16.75,1.184,1,7,2
24.4,8.78,0.483,1,10,2
5.22,1.44,0.268,0,28,0
67.57,12.43,1.344,1,10,2
96.74,22.86,1.5,1,15,1
39.59,5.5,0.402,1,21,2
132.31,30.3,6.783,1,11,1
36.48,7.52,0.266,1,22,2
19.89,5.2,0.423,1,18,2
10.0,7.18,0.473,1,20,2
100.15,30.53,4.335,1,14,1
66.07,7.1,0.268,1,8,2
73.87,33.71,3.895,1,18,1
60.0,15.85,4.703,1,5,1
11.11,0.1,0.049,0,15,0
62.09,26.59,4.474,1,11,1
235.11,34.14,8.764,1,6,1
23.51,5.51,0.127,0,21,0
170.46,16.58,4.652,1,6,1
89.78,11.81,1.5,1,8,1
27.6,3.97,0.323,0,18,0
207.29,90.31,12.782,1,9,1
1.0,4.52,0.036,0,22,0
1.0,0.26,0.298,0,13,0
154.16,8.0,5.767,1,4,1
53.69,4.75,0.136,1,22,2
76.1,41.32,4.057,1,12,1
133.03,22.12,6.854,1,13,1
55.16,4.8,0.693,1,22,2
63.16,20.2,2.496,1,18,1
1.0,1.29,0.24,0,17,0
130.38,35.69,6.695,1,17,1
3.63,6.8,0.001,0,21,0
143.48,39.79,6.584,1,19,1
111.11,8.0,2.259,1,4,1
1.46,1.86,0.145,0,17,0
122.84,29.03,1.5,1,19,1
30.0,0.79,0.391,0,19,0
2.58,3.16,0.074,0,24,0
144.39,8.0,5.116,1,12,1
39.06,7.03,0.209,1,7,2
43.41,2.83,0.532,1,5,2
5.28,0.51,0.014,0,24,0
17.46,1.75,0.185,0,18,0
39.37,8.31,1.068,1,26,2
30.69,4.93,0.273,1,19,2
60.0,18.76,5.732,1,4,1
31.19,6.09,0.2,1,5,2
3.89,0.25,0.029,0,19,0
3.29,0.31,0.062,0,18,0
126.39,24.31,3.158,1,9,1
1.0,0.77,0.0,0,22,0
1.73,0.86,0.035,0,24,0
9.96,4.79,0.016,0,29,0
6.79,0.1,0.045,0,28,0
29.11,3.3,0.035,1,6,2
124.86,24.97,3.332,1,10,1
23.41,9.11,0.14,1,24,2
23.49,1.0,0.182,1,18,2
1.83,1.33,0.198,0,15,0
180.0,20.03,3.943,1,18,1
11.27,0.1,0.013,0,11,0
76.28,26.24,1.5,1,5,1
73.6,36.68,5.762,1,14,1
163.29,45.26,3.006,1,9,1
39.12,7.73,0.26,1,27,2
16.1,6.18,0.26,1,14,2
7.15,0.16,0.075,0,22,0
9.12,0.71,0.158,0,13,0
60.0,17.24,1.5,1,5,1
1.0,3.74,0.031,0,8,0
42.13,5.9,0.019,1,16,2
1.0,0.65,0.5,0,25,0
127.04,25.14,4.242,1,14,1
67.63,15.47,1.47,1,14,1
45.27,6.39,0.495,1,11,2
2.08,1.78,0.033,0,10,0
5.3,4.14,0.117,0,27,0
32.48,8.44,0.068,1,17,2
375.23,98.83,13.493,1,8,1
28.31,6.21,0.264,1,10,2
106.86,52.01,6.727,1,18,1
142.13,35.0,2.54,1,17,1
400.86,68.4,12.804,1,7,1
5.7,4.93,0.015,0,22,0
150.53,37.39,4.525,1,7,1
137.06,42.54,4.291,1,18,1
2.13,2.26,0.085,0,25,0
105.55,32.79,3.928,1,14,1
4.06,0.28,0.301,0,8,0
1.2,2.02,0.038,0,8,0
1.0,1.97,0.018,0,14,0
48.4,10.21,0.213,1,12,2
309.94,44.07,5.856,1,6,1
13.05,10.82,0.284,1,8,2
11.78,6.78,0.16,1,24,2
63.08,30.26,1.5,1,18,1
31.76,5.67,0.165,1,18,2
106.69,30.17,4.594,1,4,1
58.79,8.21,0.415,1,25,2
60.0,34.42,3.361,1,9,1
53.46,4.29,0.052,1,26,2
104.31,26.06,4.225,1,17,1
124.66,18.44,5.938,1,7,1
23.97,6.81,0.459,1,7,2
99.64,41.59,5.813,1,5,1
132.56,40.29,3.905,1,6,1
203.84,18.86,7.667,1,7,1
32.57,6.01,0.078,1,6,2
74.66,13.71,1.394,1,8,1
27.79,5.01,0.352,0,19,0
101.67,29.05,4.573,1,7,1
1.0,1.23,0.315,0,22,0
147.42,26.05,5.746,1,14,1
51.89,2.92,0.352,1,13,2
135.54,35.13,4.052,1,12,1
89.15,26.28,5.064,1,5,1
56.51,9.1,0.736,1,9,2
113.47,8.0,6.953,1,13,1
364.84,33.69,10.073,1,7,1
61.61,14.74,3.619,1,18,1
22.73,5.85,0.081,1,10,2
65.05,7.85,0.129,1,15,2
61.82,11.64,1.259,1,9,1
151.29,38.4,4.069,1,3,1
79.08,22.36,2.825,1,19,1
2.99,2.18,0.155,0,8,0
60.27,5.47,0.561,1,10,2
29.71,4.91,0.137,1,25,2
74.88,28.59,4.95,1,10,1
2.57,2.55,0.046,0,13,0
63.09,5.6,0.18,1,29,2
31.89,9.65,0.003,1,27,2
1.0,2.14,0.111,0,14,0
79.85,8.0,3.521,1,13,1
32.67,1.0,0.135,1,19,2
108.46,28.03,1.5,1,19,1
2.97,2.9,0.5,0,8,0
123.12,18.44,3.91,1,13,1
10.0,5.54,0.377,1,5,2
17.68,6.17,0.599,1,23,2
3.83,3.13,0.019,0,16,0
2.9,0.5,0.121,0,18,0
207.46,26.95,1.5,1,19,1
40.8,1.21,0.016,1,8,2
58.99,2.64,0.066,1,14,2
1.0,1.64,0.091,0,17,0
7.73,1.34,0.011,0,24,0
165.13,39.06,1.529,1,3,1
283.16,96.68,11.507,1,4,1
79.28,29.36,3.636,1,14,1
1.0,1.36,0.236,0,13,0
2.99,1.04,0.134,0,7,0
106.14,25.08,4.617,1,3,1
2.03,0.14,0.079,0,12,0
25.29,2.34,0.176,0,12,0
28.12,5.99,0.047,1,5,2
23.35,7.36,0.082,1,12,2
40.68,8.49,0.873,1,17,2
105.93,21.31,4.666,1,8,1
1.61,1.94,0.091,0,13,0
60.27,15.7,1.407,1,11,2
5.42,1.01,0.139,0,9,0
37.32,2.58,0.15,1,17,2
2.59,2.91,0.203,0,20,0
393.63,90.38,10.206,1,3,1
145.76,16.86,6.344,1,18,1
31.01,4.12,0.042,1,22,2
3.94,3.03,0.137,0,11,0
13.83,0.71,0.099,0,12,0
110.42,29.55,8.925,1,5,1
1.0,0.75,0.028,0,14,0
30.0,6.78,0.221,0,21,0
127.43,24.99,2.504,1,11,1
116.89,12.89,7.162,1,5,1
5.84,0.1,0.5,0,12,0
10.24,4.97,0.042,0,15,0
41.62,9.93,0.149,1,14,2
35.35,7.38,0.001,1,5,2
39.22,3.42,0.405,0,10,0
24.93,7.0,0.045,1,7,2
50.09,9.08,0.007,1,18,2
152.79,38.65,7.708,1,19,1
45.7,3.44,0.328,1,16,2
20.95,5.3,0.641,1,22,2
154.99,48.69,6.31,1,9,1
42.26,5.65,0.02,1,26,2
198.46,21.79,6.588,1,13,1
75.13,16.59,4.995,1,9,1
36.31,10.63,0.274,1,14,2
10.0,4.03,0.052,1,5,2
84.62,15.09,1.239,1,5,2
6.05,0.35,0.291,0,25,0
43.34,7.45,0.141,1,29,2
18.76,3.0,0.073,0,26,0
1.0,3.65,0.451,0,22,0
174.65,35.7,8.795,1,7,1
10.0,5.57,0.343,1,19,2
102.68,19.9,2.175,1,7,1
129.45,31.21,4.042,1,6,1
11.92,1.57,0.017,0,28,0
17.96,0.47,0.374,0,7,0
6.29,1.61,0.087,0,27,0
1.0,1.71,0.114,0,23,0
24.68,1.0,0.05,1,15,2
4.97,2.36,0.191,0,13,0
28.78,3.14,0.468,1,7,2
1.32,1.99,0.049,0,24,0
114.16,39.72,3.023,1,9,1
8.12,0.77,0.226,0,13,0
39.12,5.91,0.077,1,24,2
8.49,0.26,0.246,0,23,0
17.12,0.66,0.113,0,28,0
119.08,19.94,2.306,1,11,1
70.31,8.0,3.97,1,19,1
145.75,29.9,4.373,1,6,1
40.56,8.33,0.212,1,19,2
258.58,51.09,8.073,1,9,1
23.9,5.75,0.291,1,25,2
16.78,1.27,0.124,0,13,0
8.06,0.63,0.048,0,23,0
10.0,6.62,0.065,1,16,2
35.37,7.81,0.067,1,7,2
55.47,11.86,1.549,1,13,2
37.42,3.86,0.03,1,24,2
25.68,5.44,0.5,0,7,0
25.6,7.66,0.457,0,12,0
186.63,24.25,5.968,1,4,1
7.3,1.96,0.142,0,16,0
31.08,3.59,0.692,0,19,0
71.06,19.63,4.689,1,8,1
5.92,1.39,0.063,0,8,0
148.66,19.07,1.5,1,18,1
1.0,0.29,0.031,0,11,0
1.0,0.14,0.023,0,7,0
30.0,0.15,0.5,0,22,0
23.26,8.27,0.092,1,6,2
81.39,8.0,6.984,1,8,1
91.77,37.78,4.946,1,18,1
50.29,14.86,1.494,1,9,2
71.83,15.15,1.728,1,12,2
32.85,12.17,0.056,1,26,2
11.38,0.53,0.125,0,15,0
37.14,3.13,0.76,0,8,0
10.0,6.64,0.294,1,12,2
27.32,0.12,0.019,0,19,0
92.02,39.99,2.763,1,8,1
9.48,1.55,0.006,0,5,0
3.12,1.92,0.016,0,7,0
6.91,2.07,0.5,0,18,0
52.43,6.63,0.091,1,21,2
7.9,5.08,0.002,0,8,0
38.02,6.57,1.5,1,25,2
108.33,8.0,3.773,1,14,1
60.0,12.24,4.494,1,5,1
169.85,26.76,5.665,1,7,1
155.52,48.4,6.173,1,12,1
3.25,1.14,0.154,0,27,0
1.0,0.4,0.177,0,18,0
23.46,1.0,0.166,1,12,2
37.69,1.0,0.572,1,19,2
191.18,28.09,3.95,1,14,1
9.33,3.98,0.014,0,23,0
210.42,82.52,12.949,1,7,1
1.0,5.29,0.113,0,9,0
5.95,0.24,0.01,0,29,0
147.94,17.04,1.5,1,6,1
495.74,71.61,13.266,1,7,1
22.95,6.19,0.066,1,27,2
15.93,2.17,0.108,0,13,0
30.95,3.59,0.142,1,26,2
18.93,0.21,0.102,0,18,0
19.9,2.38,0.215,1,27,2
106.26,9.19,4.817,1,5,1
63.3,15.43,1.5,1,14,1
113.62,30.9,4.296,1,5,1
137.01,8.0,2.404,1,15,1
5.71,2.46,0.175,0,6,0
1.0,0.56,0.127,0,28,0
12.88,5.28,0.684,1,19,2
130.59,8.0,1.918,1,16,1
60.0,40.88,6.126,1,16,1
12.45,0.84,0.039,0,24,0
113.2,51.27,1.5,1,11,1
37.12,4.68,0.128,1,24,2
38.57,2.89,0.025,1,20,2
26.86,2.02,0.078,1,21,2
113.77,54.94,4.508,1,5,1
39.36,5.73,0.074,1,13,2
147.01,16.53,3.793,1,5,1
20.58,8.72,0.267,1,7,2
30.7,2.03,0.238,1,9,2
4.25,1.95,0.26,0,29,0
20.78,7.65,0.192,1,24,2
6.75,0.71,0.354,0,17,0
92.29,41.51,4.332,1,17,1
31.49,8.33,0.001,1,19,2
22.23,4.45,0.404,1,19,2
36.86,7.82,0.321,0,10,0
7.3,4.31,0.02,0,28,0
12.67,4.94,0.756,1,16,2
3.88,1.12,0.128,0,16,0
12.6,1.0,0.283,1,24,2
13.27,4.61,0.317,0,20,0
36.66,5.96,0.533,0,6,0
141.56,29.55,5.296,1,14,1
127.8,37.14,7.578,1,13,1
176.13,12.03,2.809,1,18,1
18.45,8.6,0.2,1,12,2
50.96,5.26,0.105,1,5,2
8.26,0.34,0.145,0,19,0
20.16,1.81,0.006,0,13,0
10.03,0.14,0.107,0,14,0
1.11,1.92,0.441,0,7,0
30.0,0.75,0.057,0,17,0
8.11,0.69,0.002,0,26,0
39.79,2.09,0.771,1,26,2
63.82,8.0,7.594,1,12,1
144.02,23.4,5.39,1,17,1
2.81,0.42,0.057,0,8,0
3.83,0.66,0.01,0,15,0
30.54,5.1,0.056,1,18,2
76.58,10.6,4.695,1,5,1
181.21,19.25,1.5,1,7,1
129.79,35.48,2.679,1,14,1
381.07,69.91,5.441,1,4,1
78.9,46.19,5.344,1,6,1
160.68,19.56,5.007,1,15,1
2.56,0.18,0.072,0,13,0
3.68,2.25,0.08,0,21,0
10.0,7.66,0.04,1,9,2
157.01,33.89,3.074,1,18,1
1.09,0.46,0.081,0,21,0
3.52,1.94,0.006,0,21,0
80.56,24.37,8.661,1,19,1
67.74,21.78,5.321,1,4,1
173.57,19.16,1.816,1,11,1
137.43,25.79,3.157,1,10,1
12.22,7.52,0.271,1,16,2
109.51,38.57,5.492,1,15,1
2.68,0.63,0.229,0,23,0
105.82,29.47,3.749,1,11,1
18.86,0.63,0.027,0,23,0
107.59,40.83,3.238,1,15,1
20.15,1.24,0.226,0,24,0
3.52,3.1,0.02,0,17,0
1.0,0.43,0.107,0,22,0
30.0,1.95,0.084,0,6,0
398.64,85.39,6.551,1,6,1
124.79,16.69,4.605,1,17,1
